mos,fr
Wedg noaagã tɩ b sẽ.,Éventre la poule pour la griller.
B wedga a kargã tɩ met yita.,On a incisé sa jambe et du pus est sorti.
M da ka mi-a wee.,Je ne le connaissais pas du tout.
A weeg n na wa yiri.,Pourvu qu'il vienne à la maison.
Rũngã kiime n weele.,L'animal est mort et il ses en état de squelette.
Wa weem.,Viens vite.
Weer ketame.,Il y a encore de la place.
Ninsaan-weere.,Personne commune.
A bee weoogẽ wã n weesdẽ.,Il est en brousse et pousse des grands cris.
A rʋʋ tɩɩgã weesrẽ n zaoẽ.,Il a monté sur l'embranchement de l'arbre et s'y est assis.
Gellã wekdame.,L’œuf éclore.
A rũmdã modame n welbe.,Son genou est enflé et est devenu gros.
Zu-welbre.,Grosse tête.
Welg-y rɩɩbã zĩis a yiibu.,Séparez la nourriture en deux endroits.
Yʋʋr pʋda welgr yĩnga.,"Le nom est attribué pour différencier. (Proverbe: il s'agit ici d'insister sur la nécessité de la précision, de la propriété pour éviter toute confusion dans les faits et gestes que nous posons.)"
B welsda piisã.,Ils séparent les moutons.
Baagã wesda weo-weo.,Le chien aboie «ouf ouf».
Tõnd laame tɩ d sĩ weooge.,Nous avons ri et étions contractés.
"Rog weoogẽ yaa wẽnd yelle, bɩ weoogẽ yaa ned raabo.","Naître en campagne est le fait de Dieu, mais y grandir est un choix de l'individu. (Proverbe: il revient à chacun de prendre des initiatives, d’orienter sa vie, pour forger son destin selon ce qu'il voudra qu'il soit.)"
Sagl-a la f ra bas t'a kẽ weoog ye.,Conseille-le bien et ne le laisse pas s'éloigner du droit chemin.
A zagl weoog pa tol n kẽed maam ye.,Je ne me sent pas du tout attiré ver un tel.
Fo yi n tuda yɛ weoog bala?,Dans quelle direction vas-tu comme ça ?
kamaan-werbre. kamaan-samui.,Fleure du maïs.
A yãka ki n dabd neerẽ n na n tɩ were.,Elle va au moulin pour moudre la farine.
Baagã wesdame.,Le chien aboie.
A wẽe maam.,Il m'a tapé.
Rao-kãngã wẽeda tãn-koɛɛma.,Cet homme fabrique des briques.
Ra nams n sig ye; kell n wẽ n tɩ ges a zagl la f wa.,Ne t'arrête pas; continue de te déplacer et va voir un tel avant de revenir.
"Tʋmtʋmdã wõgemda a soaalã taoore, n wẽ kãntɩɩg n yeele: «Maan-y sũ-mar ne maam, tɩ m na n yaoo samdã zãnga.»","Le serviteur alors se jeta aux pieds de son patron et il s'y tenait prosterné en suppliant : «Consens-moi un délai, et je te rendrai tout.» "
A Zã wẽe bãmb yel-bũnd me n yeele: ...,Jean leur dit aussi une parabole: ...
Wẽ-n-yɩleng n tõe / kʋʋd waafo.,"C'est à coups répétés qu l'on tue le serpent. (proverbe: il faut prendre des précautions pour s'assurer que les objectifs seront atteints. Pour cela, il faut le répétition, l'insistance, le rappel etc.)"
Kamaan-wẽbende.,Un gros épi de maïs.
Wẽbg-a sõama t'a ra fãag ye.,Tiens-le fermement pour qu'il ne s’échappe pas.
Zom wẽbre.,Boulette de farine.
"B ba wã sẽn ta n kẽ wã, ned kam fãa yaa wẽda.","Quand leur père rentre, tout le monde est totalement silencieux."
Tõnd naaga taab n bao ligd t'a wẽd maam n tall zãnga,Nous avons cherché a avoir de l’argent ensemble mais il ma brimé et il a tout gardé pour lui-même.
Nebã pidame t'a baas n wẽdgdẽ n dat n ta taoore.,Il y avait plein de gens et il s'est frayé un chemin en jouant des coudes pour arriver devant.
Poanda yɩ wẽe.,Crapauds font «quark».
Zabr sã n pa na n vaal bɩ f reng wẽebo.,"Proverbe : Si la bagarre ne peut être évitée, sois le premier à taper. (sens: il ne faut jamais remettre à demain ce qu'on peut faire aujourd'hui)."
Yam soab n wẽed noaag pɛk tɩ pa t'a a nif.,"Il faut être intelligent pour gifler une poule sans que son œil ne soit atteint. (Proverbe: face à toute situation complexe, il faut faire preuve d'intelligence pour ne pas créer des précédents.)"
Sag-wẽema.,Tô mangé sans sauce.
Wẽem bulvãka n yaool n lose.,Broie ces feuilles avec les mains et puis mets-les dans la sauce.
Zẽedã saame t'a kong n wẽemd sagbã.,La sauce est fini et il est obligé de manger le tô sans sauce.
Ra wẽen ne Wẽnd zaalem ye!,Ne jure pas en vain au nom de Dieu !
A taba konkongã n wẽg zãnga.,Il a marché sur la boite et elle est complètement déformée.
A kʋʋlame t'a nengã wẽgem zãnga.,Il a vieilli et son visage s'est déformé.
A wẽgsda a ninã.,Il fait des clins d’œil.
"A peka fuugã n wẽke, n yɛgd tɩ kʋɩ.",Elle a lavé l’habit et l'a essoré puis elle le met pour sécher.
A watame.,Il est en train de venir.
A na n waame.,Il viendra.
A tʋmda wʋsg wẽnd bõanga.,Il travaille beaucoup comme un âne.
A pʋʋsa a zakã rãmb wẽnd-na-taase.,Il a dit au-revoir à sa famille.
A wẽnda tɩɩg will sẽn womd sõma ko-bundem zĩigẽ.,Il est comme une plante fertile qui pousse près d'une source d'eau. 
Wẽnd yaa naaba.,Dieu est roi.
Yaa yel-wẽnde.,C'est une mauvaise chose.
Rɩẽ woto wẽnd tɩ saagã sɩnga niibu.,L'an passée à cet époque les pluies ont commencé.
B wẽnda taaba.,Ils se ressemblent.
Ra wẽn wʋsg tɩ wa kaoog ye.,Ne le tourne pas trop sinon ça va se casser.
Wẽneg n ges f poorẽ.,Tourne-toi et regard derrière.
Biigã na n wẽnega a ma.,L'enfant ressemblera à sa mère.
Wẽnnaam pĩnd n yãka bãmb me tɩ b wa zems bãmb Biigã wẽnego.,Dieu a aussi décidé d'avance de les rendre semblables à son Fils.
A wẽnemd n gesa bãmb fãa.,Il s'est tourné et les a tous regardés.
Nin-wẽnga.,Personne méchante.
Bi-wẽnga.,Petit / jeune enfant.
Wẽng maooneg pa sõama ye.,Le faire du mal n'est pas bien.
Zu-wẽok naana kõbrẽ.,"Une tête aplatie est conçue depuis l'os. (Proverbe: les conséquences à une situation donnée ont des causes qui sont profondes. Pour leur trouver une solution, il faut repartir à ses cause pour comprendre)"
"Ka a meng ye, ya a wẽonego.","Ce n'est pas lui-même, c'est son sosie."
B gãd-a n wẽoog t'a ninã noode.,On l'a tenu si serré qu'il a ouvert grandement ses yeux.
Nin-kãngã sɩd yaa nin-wẽorgo.,Cette personne est vraiment costaude.
B soosame n ta n yɩ wagdrã wẽp.,Ils ont agi en cachette et ont saisi le voleur brusquement.
A rɩka sʋʋgã n wẽrd kãnkãrã n na n maan meenem n peebe.,Il a tourné un tige de mil avec un couteau pour faire une flûte.
A wẽra rẽndenega.,Il a tatoué une ligne sur le visage.
Wa wɛ. A waame wɛ.,"Viens donc. Si, il est venu."
A zĩime n wɛ nao wã.,Il est assis en écartant largement les jambes.
Rɩɩbã wɛɛ wakat kãngã.,Il y a de la nourriture en abondance en ce moment.
A kõo maam bur-wɛdga.,Il m'a donné une partie du pain.
Pʋ-wɛɛga.,Champ en jachère.
Bõan-wɛɛga. Bõn-wɛɛga.,Âne sauvage.
"Kibsã raare, rɩɩbã ne rãamã wɛɛlame.","Le jour de la fête, il reste beaucoup de nourriture et de la bière."
Yʋʋm-wɛɛlẽ.,Il y a neuf années.
"Tẽn-kãngã rãmb naabã ka nin-dao ye, yaa wɛɛmba.","Le chef de ce pays n'est pas un homme, mais c'est une femme."
Serg-y la y bas wɛɛnga.,Bougez et laissez de la place.
Zãmsgo pʋʋsg wɛɛngẽ. ,Un enseignement à propos de la prière.
Lembur yaa miisg wɛg-wɛge.,Le citron est très aigre.
"Sãan yaagda wɛgdre / bɩto, la a pa yaagd gomd ye.","L'étranger puise de l'oseille (de la sauce), il ne puise pas un mot. (Proverbe: l'étranger ne doit pas s'immiscer dans les sujets des indigènes.)"
Nin-wɛgelle.,Personne dure.
A lebga bi-wɛgemde.,Il est devenu un enfant indocile.
Gõangã kʋɩɩme n wɛgle.,La peau a séchée et elle est devenue dure.
Kor-wɛglgo.,Sac dur.
"B tãoo kĩinã n pa paam, tɩ b wɛgme.","On a tiré sur les pintades et raté, ainsi ils sont devenus indociles."
Goam gomda ne pagd tɩ sẽn tar-a yam wɛgse.,"Les paroles se disent avec des coques et celui qui est intelligent les décortique. (proverbe: toute figure de style requiert un effort de réflexion pour pouvoir comprendre, décoder le message qui en fait l'objet.)"
Nangur-n-wɛka.,Coque d'arachide.
Rɩ-wɛlga.,Nourriture partagée.
A bẽda wɛreng n yõgd we-rũmsi.,Il met une piège pour attraper des animaux sauvages.
Baagã wɛsg n nek maam.,L'aboiement du chien m'a réveillé.
Wɩɩb-wɛsga.,Crime abominable.
Pagã kẽngame n na n tɩ wi koom.,La femme est allée puiser de l'eau.
Bao koom n widg f nengã.,Lave ton visage avec de l'eau.
Widg bugmã tɩ yaa lika.,Allume la lumière car il est sombre.
Wid f neooda wã tɩ yaa gõose.,Mets tes chaussures car il y a des épines ici.
Bugmã pa wit sõama ye.,Le feu ne brûle pas bien.
A reega tɩɩmã n bao koom n vel wiga.,Il a pris les médicaments et les avalés avec de l'eau en faisant un bruit de déglutition.
Biigã wiisdame.,L'enfant pleur en poussant des grands cris.
"Wilg-m-meng pa kʋʋd yãag ye, nin-kẽem paoogr n kʋʋd yãaga.","La vantardise ne tue pas le jeune, c'est l'irrespect des vieux hommes qui tue le jeune. (Proverbe: parmi les erreurs que l'homme peut commettre, certaines lui sont pardonnables et d'autres lui sont impardonnables.)"
Karg yaa yĩng wilga.,La jambe est un membre du corps.
Wakatẽ wilgda. Sõor wilgda.,Marque du locatif temporel. Marque du nombre.
Ad yaa mam paga.,Celle-ci est ma femme.
M wilgda foo.,Je te montre.
Yẽ kaalmã winda a taab koobã zug wakat fãa.,Sa terre cultivée surpasse toujours celle de ses compagnons.
Zɩɩbã winda poorẽ.,La charge est déséquilibrée vers derrière.
Roogã tonda tãngã zug wilinga.,La maison est visible à l'écart sur la colline.
Tɩɩgã will n ãsg n lʋɩ.,Une branche de l'arbre s'est cassée et est tombée.
A rɩɩme n yik n yɛs pʋʋrã willi.,Il a mangé et son ventre est bien gros.
Ki wã wirmame.,Le mil a arrêté de croître.
Rayʋʋgã kẽe bokẽ. B sã n wis a yitame.,Le rat est entré dans le trou. Si l'on enfume il va sortir.
Moaag wita neoodr zɩɩm zugu.,Le Moaaga se décide de porter des chaussures après qu'il se soit blessé. (proverbe: l'homme ne prend conscience de l'urgence d'une situation qu'après qu'elle soit devenue critique ou irréversible)
Bug-witga.,Feu allumé.
Yaa bõe zoobd n bas tɩ ya wiuu woto? Kɩt tɩ b wõrse.,Pourquoi les cheveux sont laissés si touffus ? Fais-les couper.
A wĩida lamdo.,Elle file du coton.
Bʋ-sõng ka gõod ne wĩgɩrg ye.,"Une bonne chèvre n'erre pas avec un bout de corde. (Proverbe, sens: On prend toujours soin de ce qui a de la valeur)"
Naaf ka tar pãng ne a yõorẽ wĩir ye.,Le bœuf ne peut pas résister à la corde de son nez. (proverbe: celui qui est dépendant n'est pas libre de ses mouvements)
ãdga sẽn be goabg wakat fãa.,Étoile qui se trouve au nord et qui ne bouge pas. 
Ne y wĩndga.,Salut à vous (à midi) / Bonjour.
Yellã yɛɛs-a lame t'a yĩisã fãa wĩnigdẽ.,Le problème l'a effrayé et tout son corps frissonne.
Wĩntoogã zabdame.,Il fait très chaud.
Biigã lebga wak-m-menga soab n saad n wɩɩdẽ.,L'enfant est devenu orgueilleux et se promène en se faisant fièrement l'important.
"Bar-pɛɛbd sã n fʋʋs nif n kong, bɩ wɩ-pɛɛbd vʋʋse.","Si le joueur de cor souffle en vain dans l’œil (pour faire sortir le brin de saleté), alors le joueur de flûte ne s'y essaye pas ! (proverbe: si celui qui a plus de moyens n'arrive pas à faire quelque chose, celui qui est en manque de moyens n'y arrivera pas)"
Gũus tɩ wagda wã na n wɩbg-f lame.,Fais attention sinon le voleur va te causer préjudice en te trompant.
A wɩda maam.,Il m'a critiqué.
Yẽ n wɩdg maam bilf tɩ mam bãng tiiri.,Il m'a dit quelque chose pour que je sois au courant de l'affaire.
"Ra ning koomã tɩ pid yʋʋrã tɩ sã n tʋke, na n wɩdmame n daal tẽnga.","Ne replis pas trop le canari sinon lorsqu'on le porte, l'eau va déborder et couler par terre."
Wɩgemd n dɩk yolgã n tʋke!,Fais un effort et porte le sac sur la tête.
Bõe bugum la sẽn tond wɩɩ wã?,C'est quelle lumière qu'on voit rougeâtre-là ?
Ãndã n zãad bugum n tar wɩɩ-wɩɩ wã?,"Qui tient la torche et éclaire par-ci, par-là ?"
Baag wɩɩb-yɛng pa dʋʋd-a ye.,"On ne tue pas un chien pour juste un premier scandale. (proverbe: quand une personne commet une faute pour la première fois, elle doit bénéficier de l’indulgence et de la clémence)"
A wɩɩbame tɩ b yiis-a buudẽ.,Il a transgressé un interdit et on l'a exclu du clan.
Naab kõo noor tɩ neb kẽ raagã n wɩɩd nebã tɩ b sãeeg n kuli.,Le chef a ordonné d'aller au marché et faire disperser les gens qu'ils rentrent chez soi.
"Fo ye n wɩɩge, tɩ na n wa zemsame.",Tu fais encore un effort et ça va aller.
Mangɩ wã bɩɩme n wɩɩle.,Les mangues ont mûri et sont devenues rougeâtres.
B wɩɩsa raad n tʋke.,Elles ont ramassé du bois sec et l'ont porté sur la tête.
Wɩɩs bugmã tɩ m gẽes m lagf sẽn lʋɩ.,Éclaire l'endroit pour que je puisse chercher mon argent qui est tombé.
Wɩk f meng n wẽ-a.,Raidis tes muscles et frappe-le.
Yaas a wɩla n kaoos-kaoose.,Laisse le debout tout seul pour quelques instants.
Yʋʋrã pida koom wɩla.,Le canari est complètement plein d'eau.
"Saagã sẽn da kʋɩ wã, a le yaa wɩla.","La pluie s'est préparé a pleuvoir, elle a de nouveau disparu"
Sãnem yaa bũmb sẽn wɩnda.,L'or est une chose qui brille.
Sawatã wɩlgame.,Les nuages se sont dissipées.
B loogame n bas zakã wɩlle.,Ils sont partis et ont laissé la maison complètement vide.
Mi tiir n wʋmd / gomd wɩlma.,"Qui est au courant, comprend le verlan. (Proverbe, sens: Quand on est au courant de quelque chose, on peut se comporter conséquemment)"
A wɩlsa yʋʋrã ne koom.,Elle a rempli le canari jusqu'aux bords.
"Zĩigã sẽn da maag zaamẽ wã, rũndã a yaa wɩma.","L'endroit qui était froid hier, est chaud aujourd'hui."
A yĩnsã rag n wɩnga hal wʋsgo.,Son corps a beaucoup chauffé.
"Wɩng n wa tɩ ka rẽ, d pa na n paam zĩig n zĩnd ye.",Fais vite sinon on n'aura pas des places pour s'asseoir.
"Sɩpaolgo, tɩɩs wʋsg wɩremdame.",Pendant la saison sèche beaucoup d'arbres sont dépourvus de feuilles.
Zũnzũyã wɩrsa tɩɩgã vãad zãnga.,Les chenilles ont mangé toutes les feuilles de la plante sauf les nervures.
Ra zomb tɩ raoogã yaa wɩsbre.,Ne t'assois pas car le bois n'est pas souple (il casse vite).
Ra zab t'a wɩsda ne foo.,Ne fais pas de bagarre car il plaisante seulement avec toi.
Bi-kãngã yaa bi-wɩsenga.,Cet enfant est éveillé.
Ra zomb raoogã t'a wɩsgame n dat n kao.,Ne t'assois pas sur ce bois car il a perdu sa souplesse et va casser.
Wɩsg f meng n tʋm n baase.,Produis l'effort pour finir le travail.
Raad wɩʋʋsgo.,Ramassage du bois.
Woog-y tɩ yaa wʋsgo.,Réduisez cela car c'est trop.
Fo fõgna rʋkã woaka.,Tu n'as pas totalement couvert la marmite.
A zagl yagdã yaa wob-nemse.,La corpulence d'un tel est hors de proportion.
A kẽngame n na n tɩ wob rõodo.,Elle est allée cueillir des fruits de néré.
A karg n kaoog t'a wobd moore.,Il s'est cassé la jambe et ils la soignent selon la manière traditionnelle des moose.
A zagl kẽnda wobelle.,Un tel marche en boitant.
A kẽnda wobendo.,Il marche en boitant.
A naoor n dãmb t'a kẽng tɩ b wobge.,Il s'est foulé le pied et il est allé se faire rebouter.
Wobg f nugã tãndo.,Fais descendre le banco qui adhère à ta main.
Vʋdbã wobla biigã.,L'injection a rendu l'enfant boiteux.
A kẽndame n gengdẽ n tabd wobsre.,Il marche en se tenant contre en boitant.
Pil n munumd zãng la f ra bas wog-wog tɩ yaa waoodo.,Couvre-toi complètement et ne laisse rien découvert car il fait froid.
"Gãneg-a wogelle, ra tilg ye.",Fais-le coucher en longueur.
Pag zug wogem me a pa so yiri ye.,"Même si la femme est grande, elle n'est pas chef de la famille. (Proverbe: La femme a beau être grande, c'est l'homme qui est toujours chef de famille et en assume toute la responsabilité)"
A wedga a naoorã tɩ gãongã wogemde.,Il a incisé sa jambe et la peau est devenue moins volumineuse.
Wẽnd na wogl y yõore.,Que Dieu prolonge votre vie.
Wogl roogã noor tɩ yaa pemsem.,Ferme la porte car il y a un courant d'aire.
Ãnda n wʋmd a sẽn wogend n yet bũmb ninga?,Qui comprend ce qu'il dit s'il parle indistinctement ?
wʋglem Mo,taille du fichier en méga bits
Wẽnnaam nug wogma.,La main de Dieu est longue. (Proverbe: Dieu tend sa main et sauve en toute circonstance.)
A gãeeme n wokd a nifrã n get maam.,Il est couché et entrouvre un œil et me regarde.
A biigã yaa wok bãanega.,Son enfant est grand et mince.
Wolg kaamã sẽn be zugẽ wã.,Enlève la graisse qui est en haut (d'un liquide).
Wolg-y sagdã n tɩ lobe.,Ramassez les ordures qui sont en haut et allez les jeter.
"Taan-bil sã n reeg a ma wombo, a na wom ne yẽgna.","Si le jeune karité imite sa mère pour produire, il produira jusqu'à ses racines. (proverbe: l'enfant qui imite es qualités, les caractères positifs ou négatifs de ses parents, fera mieux ou pire qu'eux)"
Nebã wa n woma maam.,Les gens se sont attroupés autour de moi.
Tɩɩgã womda sõama.,L'arbre produit beaucoup de fruits.
"Woo, m wʋmame.","D'accord, j'ai entendu."
"Woo, yaa woto la?","À bon, c'est comme ça ?"
A yõgna bugum n zĩ n wootẽ.,Il a fait un feu et s'y assoit pour se réchauffer.
Woog-y tɩ yaa wʋsgo.,Diminuez car c'est trop.
Biigã woosdame.,L'enfant crie.
Tɩɩgã will wosg n lʋɩɩme.,La branche de l'arbre s'est cassée à l'endroit fourchu et est tombée.
Woto yaa bõe?,Ceci est quoi ? Qu'est-ce que c'est ?
Woto tɩ ned a to me taa zĩ-kãngã. ,De même quelqu'un d'autre arriva à cet endroit
"Woto yĩnga, bɩ y gũ! Bala, yãmb ka mi daarã, wall wakatã ye. ","Veillez donc, car vous ne savez ni le jour ni l'heure. "
Zõosa wõodame.,Les mouches bourdonnent.
B wõ b sʋʋse.,Ils font sortir leurs coteaux.
A wõbd kamaana.,Il croque du maïs.
A baoo zom n wõd ne kaam n maan koom n kõ sãanã.,Elle malaxe de la farine avec de l'eau et donne cela au visiteur.
B yõk-a lame n wõd sõama.,Ils l'ont attrapé et frappe sévèrement.
A kɩɩmda zũun n na n wõd kaam.,Elle fait cuire les noix de karité pour fabriquer le beurre.
Yãk koom n wõdg f fuugã t'a yaa rẽgdo.,Prend de l'eau et lave ton habit car il est sale.
A bee pʋgẽ wã wõg-wõg n maand bõe?,Il est à l'intérieur profond et fait quoi ?
Mam yĩnsã yaa wõg-wõg rũndã.,Mon corps n'est pas très en forme aujourd'hui.
A wõg n tɩ bee nebã sʋka.,Il s'est frayé un chemin et il est arrivé au milieu de la foule.
A wõgame n kelgd naab goama.,Il est plié en quatre et écoute la parole du chef.
"Ka a Zã ye, ya a wõnego.","Ce n'est pas Jean, c'est son sosie."
A keng t'a wõng koom n wa.,Elle est allée puiser de l'eau.
"Biig sã n yɩ wõo, d n na n yãa ligd yɛ n da tɩɩm?","Quand l'enfant crie de douleur «ouah», où trouverons-nous l'argent pur acheter les médicaments ?"
Zõosã le yaa wõo n kẽed doogẽ wã.,Les mouches bourdonnent en entrant dans la chambre.
Wõog sʋʋgã.,Fais sortir le couteau.
A yĩns n wɩng t'a gãe n wõosdẽ.,Son corps chauffe et il est couché en gémissant.
Wõosg kolgda bãag weoogo.,Proverbe: Les gémissements atténuent la maladie.
B wõr-a lame n kẽes yembdo.,Ils l'ont forcé dans l’esclavage.
Ãndã n tabg wamdã n wõremde?,Qui a piétiné la calebasse et l'a cassé en morceaux ?
Rɩk mak n wõrg peendã.,Coupe un morceau du tissu.
Foo n tabg wamdã t'a wõrge.,C'est toi qui a piétiné la calebasse et elles s'est brisée.
Zakã rɩtb yaa wʋsg tɩ ki wã zoe n wõrge.,"Il y a beaucoup de gens à nourrir dans la maison, mais le mil a déjà beaucoup diminué."
A baoo toak n wõsg zẽem.,Elle mette de la cendre dans un filtre pour obtenir de la potasse.
"Nemd dasem a tã, a na ya n wõsge.",La viande de trois jours va commencer à se putréfier.
"Biigã zĩime ka, a wõsgda. ",L'enfant est assis ici et pleurniche longuement.
M tʋbrã wuudame.,Mon oreille bourdonne.
Ki wã wubgame.,Le mil a moisi.
A kẽnga tẽng ning b sẽn dag n wub-a wã.,Il est allé dans la ville où il a été élevé.
Pak wubrã tɩ piisã yi.,Ouvre la bergerie afin que les moutons sortent.
Zu-wubri.,Grosse tête.
A wudgdame.,Il est en train de courir.
A wudga yibeoogẽ n nan ka lebg ye.,Il est sorti le matin et il n'est pas encore revenu.
Mobillã yõsgame n tɩ wẽ a to wuga.,La voiture a dépassé et coalisé avec une autre «boum».
"Wẽnnaam kɩɩsda wuk-m-mens rãmbã, la b ningda sik-m-mens rãmbã zut barka.","Dieu s'oppose aux orgueilleux, mais il traite les humbles avec bonté"
A wãba rɩɩb wʋsg t'a pʋgã wuki.,Il a mangé beaucoup et son ventre a gonflé.
A wuka ne maam n ka le gomd ne-ma ye.,Il m'a boudé et ne parle plus avec moi.
Bug-zõosã pida roogã tɩ ya wula.,La fumée remplit la chambre et il fait chaud.
No-wulfu.,Petite bouche.
D yi yɩng tɩ roogã yaa wulli.,Allons dehors car dans la maison il fait chaud.
Zĩigã yɩɩ sẽpɩ n wulum nebã sẽn da be roogẽ wã.,L'endroit était chaud et a étouffé les gens qui étaient dedans.
Biigã lakame n lʋɩ wup.,L'enfant s'est heurté et est tombé «boum». 
Fãa kell n zemsa wupi.,Tout est parfaitement correct.
Saagã kũmda wur-wuri.,L'orage fait du bruit «broum».
A kurgã wurgame.,Ses pantalons sont troués.
A lʋɩɩme t'a rũmd wurg n yit zɩɩm. ,Il est tombé et son genou s'est blessé et saigne.
A wura dʋkã.,Elle frotte la marmite.
Nebã wurdame n dat n kẽ.,Les gens se précipitent et veulent entrer.
Y wʋmda saagã sẽn wurd la! Fo rɩɩ bõe tɩ f pʋʋgã wurd woto?,Écoutez la tonnerre qui gronde ! Qu-est-ce que tu as mangé que ton ventre gronde comme ça ?
A ninga kur-wurungu.,Il porte des pantalons perforées.
B wisa kɩɩgã t'a wẽ wusa n yi.,Ils ont enfumé l'écureuil dans son trou et il est sorti brusquement et avec force.
Bũmbã yaa bedr wuu woto.,Ces choses sont d'une immense grandeur comme cela.
Pagã zoeeme t'a fuugã sẽk tɩ kambã wuul-a.,La femme a couru et une pièce de son habit s'est enlevé et les enfants l'ont hué.
B wũu bulsi.,Ils ont récuré des puits.
Kaoog sagbã la f ra wũg ye.,Romps le tô et ne creuse pas dedans.
A wũgame.,Il est caché.
A rɩka kĩin gɛlã n wũnug noaagã.,Il a mis les œufs de pintade sous la poule (pour les couver).
A noadã wũnusame.,Sa plaie fait du pus (elle s'est infectée).
Bulgã wũuga rɩẽ.,Le puits a été récuré l'an passée.
Yũugã wũundame n gũud tɩ yõngr yi.,Le chat se cache et attend que la souris sorte.
Yi n ges yaa ãndã la baagã sẽn wũundã.,Va dehors pour voir sur qui le chien grogne.
Nodrã wũusame.,La plaie s'est infectée.
Naafã wũusdame.,Le bœuf / vache beugle.
A yũu rãam tɩ loog-a t'a wʋbdẽ.,Il a bu trop de bière et il vomit.
M ba ra wʋgda sʋnd ka wubd kɩɩb ye.,Mon père était tisserand ne nourrit pas l'orphelin. (proverbe)
M ma wʋgda pĩy n koosdẽ.,Ma mère tisse des nattes pour vendre.
Bugum n yõog a nugã tɩ wʋgemde.,Il s'est brûle la main sur le feu et la peau s'est détachée.
A pidsa a noorã zom n wʋgendẽ.,Il a la bouche plein de farine et mâchonne.
A wʋkda kuga.,Il ramasse des pierres.
Ra wʋk-y yel-kãngã tɩ ned wʋm ye.,Ne divulguez pas cette chose à personne.
Mam na n wʋka dãam m noorẽ.,Je vomirai la bière de ma bouche.
Wʋk laasã n wʋlg n yaool n peke.,Trempe les assiettes dans l’eau et ensuite tu les laves.
Wʋk-b gill wʋma n kẽes pʋgẽ.,Ramasse-les tous complètement et fais les rentrer dedans.
«Pʋʋs f paga.» «A na wʋme.»,«Bonjour à ta femme.» «Elle entendra.»
A baagã wʋm-a-la wʋsgo.,Son chien lui fait beaucoup souffrir.
Mam yõorã ka wʋmd yũug ye.,Mon nez ne sente pas l’odeur.
"Ka yet tɩ b sẽ kamaanã ye, yeelame tɩ b wʋme.","On ne disent pas qu'ils grillent le maïs, mais qu'ils le cuisent au four."
A yika wʋmm n tɩ gãneg biigã.,Elle s'est levée doucement et est allée faire coucher l'enfant.
A wʋndlmã yĩng n kɩt t'a ka wʋmd goamã.,Le fait qu'il est sourd fait qu'il ne comprends pas les paroles.
Bãag n yõk-a n wʋng a tʋbã t'a ka le wʋmdẽ ye.,C'est une maladie qui a assourdi ses oreilles et il n'entends plus.
A wʋrda yamd n na n kõ pesgã.,Il coupe de l'herbe pour donner au mouton.
Yolgã wʋrgame tɩ ki wã barge.,Le sac s'est cassé et le mil s'est éparpillé.
Paas rɩɩbã tɩ nebã sõor paam n wʋsgame.,Ajoute de la nourriture car les gens sont nombreux.
A rɩta wʋsgo.,Il mange beaucoup.
Ning koomẽ n bas tɩ wʋʋge.,Met cela dans l'eau pour le ramollir.
"Fo koomã soob pa yi ye, yaa wʋʋla.","Ton lavage avec de l'eau n'est pas suffisant, c'est mal lavé."
Tõnd koom saame.,Notre eau est finie.
Bõe la fo saad n baoodẽ?,Qu'est-ce que tu cherche en vagabondant ?
"Fo sã n ka tõe, maam la sa.","Si tu ne peux pas, pour moi c'est encore pire."
Be ne taab pa zabr saab ye.,Proverbe: Être ensemble n'est pas la fin de la bagarre. (il faut la tolérance)
"Moasã, ad bũmb a tãab nins sẽn paadã: yaa tẽebo, la saag-sõngo, la nonglem.","Maintenant donc ces trois choses demeurent: la foi, l'espérance, l'amour."
Fu-kãngã saagda wãna?,Quel est la proposition du prix pour ce vêtement ?
ra saag baagã t'a na n rũm-f lame.,Ne caresse pas le chien car il pourrait te mordre.
Koe-kãngã saaga tẽnsã fãa.,Ces nouvelles s'est répandue dans tous les villages.
Ned fãa saagdame t'a na n paama ligdi wʋsgo.,Tout le monde espère gagner beaucoup d'argent.
A saanda a yaabã.,Il félicite son ancêtre.
Lalgã saalame. Zẽedã saalame.,Le mur est lisse. La sauce est gluante.
Kʋlgã pidame n saale.,Le fleuve est plein jusqu’aux bords.
Maan-zom yaa saalem sẽn tõe n tall n salg mui zẽedo.,La poudre de gombo peut rendre la sauce pour le riz gluante.
Mam nonga zẽ-saalga.,J'aime la sauce gluante.
"Biig sã n bãng a saamba, a yaab la a bãng yã.","L'enfant qui a connu son père, a connu son grand-père. (Proverbe: chaque personne doit profiter des expériences des aînés, chaque génération doit apprendre avec la précédente.)"
Saam sagbã n kõ baagã.,Délaie le tô et donne le au chien.
A rʋga zẽ-saoolgo.,Elle a fait une sauce gluante.
Sʋʋgã ka saas ye.,Le couteau n'est pas aiguisé.
Saas-y tʋʋmã la y yaool n kuli.,Finissez le travail et puis rentrez à la maison.
Wẽnnaam sẽn be hal saasẽ-saasẽ wã paam pẽgre!,Gloire à Dieu au plus haut des cieux !
Ya a pagã sabab yĩng la a le paam ligdi.,C'est par l'appui de son épouse qu'il a de nouveau reçu de l'argent.
Zĩigã lebga sablg liga.,L'endroit est devenu tout noir.
Fu-sablga.,Vêtement noir.
Nag-sadga.,Génisse.
